# KS test parameters: w_min = 0.12, w_max = 2.5, n_w = 15, d_c = 0.77, n_c = 2, s_c = 2
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
0.4215,-1
1.0235,1
5.0755,-1
10.2815,-1
11.1325,1
13.846,-1
16.8915,1
17.6955,1
19.043,1
20.434,-1
23.042,-1
24.914,-1
25.485,1
28.143,-1
28.7525,1
29.35,-1
30.7695,1
32.18,1
33.181,-1
34.182,1
37.685,-1
38.3445,1
38.915,-1
39.865,-1
41.385,-1
41.955,1
42.716,-1
44.426,-1
45.946,1
50.547,1
55.5765,-1
56.8335,1
59.3485,-1
62.358,-1
64.208,1
65.6625,1
68.861,1
71.744,-1
73.578,1
75.72,-1
76.432,-1
77.998,1
79.991,1
80.1825,-1
81.322,-1
81.6065,1
82.934,-1
84.224,-1
86.8035,-1
87.556,1
88.2005,-1
89.7055,-1
94.1865,1
94.952,1
96.292,1
97.249,1
102.225,1
105.303,-1
106.704,1
107.481,-1
108.726,-1
110.862,-1
112.394,1
113.032,-1
114.181,-1
