# KS test parameters: w_min = 0.2, w_max = 2.5, n_w = 15, d_c = 0.77, n_c = 3, s_c = 2.2
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
2.1,-1
4,1
6.9,-1
9.4,1
12.3,-1
13,-1
13.7,-1
15,1
16.8,-1
18.9,1
20.4,-1
22.5,1
24.5,1
25.7,-1
28.5,-1
29.9,1
33.8,-1
34.9,1
36.4,1
37.1,-1
38.1,1
40.7,-1
42.4,1
43.8,-1
45.3,1
47.3,-1
50,1
51.6,-1
52.8,1
56.5,-1
58.1,1
59.5,-1
60.9,1
62.1,-1
62.7,1
64.8,-1
65.5,1
66.3,-1
69.9,1
72.6,-1
73.8,1
77,1
77.7,1
83.5,1
86,-1
89.2,1
93,-1
96.8,1
98,1
100.5,1
101.3,-1
102.3,1
103.1,-1
104,1
104.8,-1
105.7,1
108.1,-1
110.5,1
111.4,-1
112.5,1
118,-1
121.2,-1
122.5,1
124,-1
125.4,-1
126.6,1
127.3,1
