# KS test parameters: w_min = 0.22, w_max = 2.5, n_w = 15, d_c = 0.77, n_c = 3, s_c = 1.8, x_c = 0.1
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
10.005,-1
11.406,-1
12.088,1
12.484,1
14.166,-1
16.5355,-1
19.152,-1
23.569,-1
27.554,1
28.1615,-1
30.663,-1
31.5565,1
32.45,-1
33.379,-1
34.8445,1
35.6665,-1
36.0595,1
39.542,-1
41.6645,1
42.7755,1
43.0965,-1
43.6895,-1
44.0845,1
45.9855,1
47.4655,-1
48.044,-1
48.621,1
51.472,1
54.1275,-1
55.12,-1
55.8425,1
57.6265,-1
58.723,-1
59.286,-1
60.93,-1
63.7985,-1
64.257,1
66.021,-1
66.585,1
67.7495,1
68.455,-1
68.6665,1
69.049,-1
69.3145,1
72.1975,-1
72.9315,1
75.354,-1
77.196,-1
77.4785,-1
77.9225,1
79.033,1
82.7635,-1
84.112,-1
84.755,-1
85.0865,1
85.954,1
87.2295,-1
88.3265,-1
89.48,1
92.974,1
98.299,1
