# KS test parameters: w_min = 0.2, w_max = 2.5, n_w = 15, d_c = 0.77, n_c = 3, s_c = 2, x_c = 0.2
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
9.2566,1
11.412,1
12.729,-1
14.7755,1
17.734,1
21.031,-1
35.613,-1
39.2,1
44.3435,-1
47.428,1
52.5025,-1
54.8335,1
56.431,-1
58.024,-1
58.586,1
59.563,1
67.975,-1
72.4565,1
73.069,-1
76.9615,1
79.788,-1
83.7275,1
85.8115,-1
86.8315,-1
88.1075,1
105.03,-1
108.16,1
109.275,1
110.045,-1
110.705,1
112.035,-1
120.5,1
123.715,-1
127.64,1
