# KS test parameters: w_min = 0.5, w_max = 12, n_w = 15, d_c = 0.77, n_c = 3, s_c = 1.8
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
14.95,1
22.5,-1
26.3,1
35.05,1
43.1,-1
45.25,-1
55.45,1
72.45,-1
74.9,-1
82.1,1
85.2,-1
89.6,1
94.9,-1
101.8,1
105.15,1
114.3,-1
115.2,-1
128.15,1
132.45,1
142.2,-1
146.35,1
153.45,1
156.05,1
157.25,-1
158.1,1
165.95,-1
168.65,-1
176.85,1
184.35,-1
200.7,1
210,-1
220.25,1
222.75,1
232.05,-1
235.95,-1
239.4,1
242.85,1
250,-1
251.7,-1
261.4,1
266,1
278.9,-1
288.85,1
293.55,-1
296.45,1
298.25,-1
300.65,-1
303.25,1
306.85,-1
315.6,-1
316.7,1
323.05,-1
324.5,-1
334.9,1
337.45,1
338.9,-1
341.35,1
349.9,-1
353.4,-1
360.85,-1
372.3,-1
376.4,-1
380.55,1
385.9,1
389,-1
396.35,-1
414.75,1
420.7,1
427.2,1
439.9,-1
450.6,1
452.1,-1
455.8,1
459.55,1
470.05,-1
477.45,-1
498.6,1
500.3,-1
502.9,1
505.1,-1
510.7,1
516.85,-1
523.8,1
528.5,1
536.3,1
539.4,-1
544.3,-1
549.65,-1
551.7,1
554.5,-1
560.75,-1
595.25,1
610.95,-1
615,-1
622.1,1
626.7,1
634.6,-1
643.1,1
652.05,-1
655.95,1
658.2,-1
666.7,1
674.1,-1
679.05,-1
698.75,-1
702.2,1
713.65,1
726.6,-1
738.6,1
753.25,-1
760,-1
763.85,1
767.4,-1
771.95,1
773.55,-1
779.1,-1
789.35,1
793.55,1
802.65,1
812.85,-1
827.45,-1
830.75,1
836,-1
840.95,1
847.8,-1
854.4,-1
857,-1
865.5,1
872.4,-1
880.8,1
882.15,-1
886,1
889.1,-1
901.1,-1
901.8,-1
903.5,1
906.5,-1
909.85,1
925.9,-1
932.05,1
934.2,-1
941.65,-1
958,1
969,-1
972.1,-1
973.4,-1
978.4,1
981.8,-1
984.1,1
986.7,-1
993.1,-1
999.3,1
1002.1,-1
1004.7,1
1009.8,-1
1012.2,1
1017.3,-1
1027.6,1
1031.5,-1
1037.1,1
1040.5,1
1043.3,-1
1047.5,1
1059.95,-1
1062.2,-1
1070.15,1
1082.6,1
1104.85,-1
1108.2,-1
1110.65,1
1113.9,1
1136.3,-1
1141.6,1
1143.85,-1
1148,-1
1180.2,-1
1191.65,1
1197.9,-1
1204.3,1
1208.55,1
1210.95,-1
1213.05,1
1222.3,-1
1244.5,1
1255.25,-1
1257.3,-1
1258.1,-1
1262.55,1
1270.2,-1
1290.35,1
1293.25,1
1307.75,-1
1323.45,1
1330.85,-1
1333.4,1
1335.65,1
1348.7,-1
1353.25,-1
1359.5,1
1363.6,-1
1366.85,1
1371.7,-1
1376.85,1
1380.35,-1
1384.95,-1
1417.45,1
1431.7,-1
1433.4,-1
1440.8,-1
1450.35,1
1453.35,1
1474.05,-1
1491.25,1
1503.65,-1
1510.25,1
1518,-1
1530,1
1549.75,-1
1554.3,-1
1557.35,-1
1565.8,1
1571.65,1
1597.7,-1
1606.4,-1
1611.2,1
1628.7,-1
1641.4,1
1650.4,1
1655.1,-1
1661.35,1
1668.85,-1
1680.8,1
1687.9,-1
1693.85,1
1696.3,-1
1700.5,1
1727.45,-1
1735.15,1
1737.8,1
1743.6,1
1752,-1
1759.5,1
1765.9,-1
1769.1,-1
1774.7,-1
1779.75,1
1787.55,1
1812.7,-1
1814.55,-1
1816.25,1
1817.65,-1
1825.6,-1
1831.45,1
