# KS test parameters: w_min = 2, w_max = 25, n_w = 15, d_c = 0.77, n_c = 3, s_c = 1.8, x_c = 2
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
8.2517,1
80.7113,-1
84.9699,1
97.4201,-1
120.644,-1
127.781,1
198.996,-1
203.385,1
210.688,-1
217.808,1
236.044,-1
241.764,1
286.067,-1
293.802,1
310.764,-1
318.174,1
324.522,-1
333.087,1
391.63,1
395.947,-1
405.311,1
410.733,-1
425.856,1
478.42,-1
485.09,-1
499.257,-1
505.107,1
510.784,1
524.074,-1
528.811,1
533.292,1
572.491,-1
580.429,1
587.784,-1
604.658,-1
622.526,1
665.491,-1
684.007,-1
691.468,-1
702.816,1
711.423,1
731.706,-1
743.445,1
762.335,-1
767.271,-1
770.436,1
772.841,-1
775.454,-1
789.14,1
815.074,-1
821.891,1
828.206,1
831.996,-1
839.822,-1
848.731,1
855.833,-1
869.05,1
900.224,-1
911.351,1
936.492,-1
947.911,-1
958.787,1
973.278,-1
991.828,-1
1001.5,1
1015.35,-1
1017.97,1
1021.08,-1
1031.54,1
1063.35,-1
1081.09,1
1086.72,1
1092.62,1
1094.88,1
1105.35,-1
1115.5,1
1149.37,1
1153.05,-1
1160.59,-1
1188.92,1
1222.79,-1
1243.56,1
1269.67,-1
1288.56,1
1302.6,-1
1306.96,-1
1322.9,1
1342.99,-1
