# KS test parameters: w_min = 0.2, w_max = 5, n_w = 15, d_c = 0.77, n_c = 3, s_c = 2.2, x_c = 0.2
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
12.125,-1
15.945,-1
17.57,-1
34.97,1
39.12,-1
47.185,1
52.085,1
59.965,1
60.795,-1
62.865,-1
72.415,1
74.575,-1
76.46,1
86.975,-1
89.79,1
94.075,1
108.87,-1
115.265,1
118.1,1
130.525,-1
184.71,1
189.635,1
192.34,1
197.985,-1
200.01,-1
223.405,-1
230.65,1
244.105,-1
248.115,-1
262.405,1
279.175,1
282.165,1
292.86,-1
296.79,-1
304.615,1
313.935,1
327.775,1
337.825,-1
370.165,1
373.785,-1
383.655,1
392.26,1
