# KS test parameters: w_min = 0.12, w_max = 2.5, n_w = 15, d_c = 0.77, n_c = 3, s_c = 2.2
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
11.4,1
11.68,1
12.52,1
12.84,-1
13.26,-1
13.96,1
14.08,-1
14.7,1
17.56,-1
22.9,-1
23.04,1
23.2,-1
23.38,1
24.16,-1
24.66,1
25.16,1
25.98,-1
26.14,-1
26.94,-1
27.52,-1
27.8,1
28.5,-1
28.92,1
30.6,-1
30.84,1
31.78,-1
32.56,1
33.28,-1
33.82,1
34.66,-1
35.5,1
36.68,-1
37.16,-1
38.22,1
39.92,-1
40.18,1
40.84,-1
41.48,1
42.24,-1
43.34,1
44.24,-1
44.36,-1
44.54,1
46.86,1
48.28,-1
48.42,-1
48.82,-1
49.28,1
49.64,-1
51.68,-1
54.22,1
54.88,-1
55.02,1
55.4,-1
55.82,1
56.5,-1
56.66,-1
58.04,1
58.16,-1
58.28,1
58.62,-1
59.06,1
59.26,-1
59.48,1
63.2,-1
63.8,-1
64.2,1
65.28,1
66.54,-1
67.46,1
68.26,-1
68.74,-1
69.38,-1
69.66,1
70.44,-1
70.96,-1
72.34,1
74.1,-1
76.44,1
77.78,-1
78.14,1
79.24,1
84.76,1
87.64,-1
88.06,-1
89.2,1
90,1
103.54,-1
103.66,1
104.04,1
104.36,-1
104.52,1
105.5,-1
106.76,1
106.9,-1
