# KS test parameters: w_min = 0.12, w_max = 2.5, n_w = 12, d_c = 0.77, n_c = 3
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
8.14,1
8.3,-1
10.2,1
10.86,1
11.52,-1
11.68,1
12.76,-1
13.26,-1
13.56,1
13.96,1
14.18,-1
14.68,1
19.94,1
21.88,-1
23.36,1
24.92,-1
27.48,-1
27.78,1
28.6,-1
28.9,1
32.04,-1
32.52,1
33.36,-1
33.8,1
34.74,-1
35.02,-1
35.5,1
35.76,1
35.94,-1
36.64,-1
37.12,-1
38.22,1
39.9,-1
40.16,1
40.92,-1
41.46,1
42.28,-1
43.12,1
43.36,1
43.66,-1
44.36,-1
44.56,1
46.84,1
48.46,-1
48.84,-1
49.02,1
49.14,-1
49.28,1
49.62,-1
51.66,-1
54.22,1
55,1
55.42,-1
55.78,1
56.46,-1
56.58,-1
58.04,1
58.16,-1
58.62,-1
58.9,-1
59.06,1
59.3,-1
59.5,1
61.62,-1
63.86,-1
64.14,1
66.96,1
67.26,-1
68.56,-1
69.36,-1
69.64,1
70.84,-1
71.18,-1
72.34,1
74.18,-1
74.58,-1
76.44,1
77.84,-1
78.14,1
78.74,-1
79.24,1
82.24,1
83,-1
84.42,-1
84.76,1
84.94,-1
85.2,1
86.18,1
87.66,-1
88.96,-1
90.06,1
96.54,1
97.54,1
104.02,1
104.38,-1
104.56,1
105.44,-1
106.2,1
106.32,-1
106.74,1
106.9,-1
108.3,1
109.3,1
110.6,-1
110.94,1
111.34,-1
111.94,-1
115.38,1
119.14,-1
