# KS test parameters: w_min = 0.12, w_max = 2, n_w = 15, d_c = 0.75, n_c = 3, s_c = 1.2, x_c = 0.3
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
11.2835,-1
12.861,1
14.7225,-1
15.407,-1
18.124,-1
18.652,1
21.854,1
23.1965,1
23.8205,-1
29.143,1
29.431,-1
31.9345,1
32.4155,-1
33.1255,1
33.6175,-1
34.508,1
35.4235,-1
36.231,1
37.144,-1
38.3785,-1
40.789,1
42.376,-1
43.227,1
44.209,1
44.4625,-1
45.312,-1
46.386,1
49.728,1
51.071,-1
52.2095,-1
53.6125,1
53.862,-1
54.6745,1
57.534,-1
58.541,-1
