# KS test parameters: w_min = 0.4, w_max = 5, n_w = 15, d_c = 0.77, n_c = 2, s_c = 2.2, x_c = 1.4
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
10.55,1
13,-1
15.205,1
23.495,1
24.53,-1
25.55,1
30.175,1
31.735,-1
33.805,1
34.555,-1
35.425,1
38.46,1
40.13,-1
41.9,1
43.935,1
45.71,-1
47.445,1
55.05,1
57.4,-1
60.81,1
63.785,-1
71.155,-1
71.87,-1
73.57,1
75.15,-1
76.005,-1
77.275,1
79.095,-1
85.7,1
88.165,-1
88.94,-1
106.43,-1
109.745,1
117.225,-1
125.51,1
127.48,1
130.185,-1
131.6,-1
137.935,1
141.17,1
149.18,-1
150.47,1
151.46,-1
152.955,1
160.875,1
163.55,-1
166.865,1
169.97,-1
175.3,-1
176.64,1
178.055,-1
184.065,-1
186.89,1
189.435,-1
190.825,1
191.665,-1
192.715,-1
197.955,1
204.005,-1
218.575,1
219.33,-1
220.085,1
222.535,1
223.475,-1
226.63,-1
228.715,1
235.67,-1
238.52,-1
242.245,1
