# KS test parameters: w_min = 0.2, w_max = 3, n_w = 15, d_c = 0.75, n_c = 2, s_c = 2.2, x_c = 0.7
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
6.771,1
12.466,-1
15.023,1
18.4125,1
19.401,-1
21.212,1
23.0245,-1
27.0765,1
30.033,1
30.631,1
32.0265,-1
33.0245,-1
35.0205,-1
36.6175,1
44.1425,-1
45.979,1
47.326,1
49.2505,1
49.8275,-1
51.7525,-1
53.484,1
54.6845,1
56.764,-1
57.563,-1
60.734,-1
62.964,-1
65.689,1
74.863,1
77.315,-1
84.526,1
87.5975,-1
104.009,1
105.761,-1
